order_id,customer_id,product_id,order_date,order_time,quantity,unit_price,discount,total_price,supplier_id,payment_method,shipping_address,shipping_city,shipping_state,shipping_country,shipping_postal_code,billing_address,billing_city,billing_state,billing_country,billing_postal_code,tracking_number,status
1,1,1,5/25/2021,18.18,27,161.51,0.06,2499.79,1,cash,279 Nobel Parkway,Mādabā,,Jordan,,5 Karstens Junction,Bcharré,,Lebanon,,1825570093,shipped
2,2,2,1/17/2022,1.52,86,955.44,0.67,1193.87,2,debit card,3896 Ruskin Trail,Teslić,,Bosnia and Herzegovina,,079 Bartelt Junction,Minneapolis,MN,United States,55417,4208179979,pending
3,3,3,11/22/2021,13.97,82,492.91,0.02,8207.32,3,debit card,9899 Bartelt Center,Tianjiaba,,China,,7343 Anderson Avenue,Taihe,,China,,7162451924,shipped
4,4,4,5/14/2022,17.48,80,688.31,0.92,6889.58,4,credit card,05 Ronald Regan Trail,Nagiba,,Philippines,5501,67724 Lawn Avenue,Río Tercero,,Argentina,5850,2506304674,shipped
5,5,5,6/6/2021,5.66,20,202.9,0.17,4052.65,5,debit card,666 La Follette Circle,Timrat,,Israel,,0770 Eastlawn Drive,Zhuhe,,China,,9375503124,pending
6,6,6,3/12/2021,8.35,75,749.23,0.06,7282.13,6,credit card,0 Prentice Parkway,Ključ,,Bosnia and Herzegovina,,915 Cambridge Junction,Santa Catalina,,Venezuela,,9841562987,delivered
7,7,7,8/9/2022,9.08,81,195.95,0.43,4281.59,7,credit card,112 Marcy Junction,Paris La Défense,A8,France,92083 CEDEX,3541 Glendale Pass,Farroupilha,,Brazil,95180-000,4750450632,shipped
8,8,8,9/25/2020,4.73,91,506.26,0.39,4584.24,8,cash,9 Helena Parkway,Trzciana,,Poland,36-071,82 Derek Hill,Zhongchuan,,China,,8777605085,delivered
9,9,9,5/6/2021,23.82,16,436.59,0.64,6850.58,9,debit card,6 Westend Parkway,Halmstad,N,Sweden,301 10,44 Northview Road,Bromölla,M,Sweden,295 37,9357490121,shipped
10,10,10,12/20/2021,16.39,83,649.36,0.05,9757.92,10,cash,0 Talisman Way,Bagong Barrio,,Philippines,7209,7594 Loomis Alley,Kesha,,China,,1069256663,shipped
11,11,11,10/8/2020,9.13,23,11.78,0.96,3030.55,11,credit card,5 Warner Junction,Dutsin Ma,,Nigeria,,06 Katie Parkway,Boguchar,,Russia,396779,2160889388,pending
12,12,12,7/22/2020,21.4,42,962.02,0.19,3858.63,12,credit card,07816 Monument Avenue,Goiás,,Brazil,76600-000,47 Northwestern Circle,Heemskerk,07,Netherlands,1964,1355583615,delivered
13,13,13,2/9/2020,8.39,8,185.81,0.98,6643.74,13,credit card,22 American Ash Center,Oripää,,Finland,32500,24 Sommers Circle,Ciusul,,Indonesia,,1798005467,pending
14,14,14,6/20/2022,19.85,58,256.86,0.05,1905.8,14,cash,906 Pankratz Court,Villa Serrano,,Bolivia,,8658 Manufacturers Trail,Guaporé,,Brazil,99200-000,4281736344,pending
15,15,15,3/6/2020,21.11,78,96.1,0.74,8935.83,15,credit card,6879 Oriole Way,Szeged,CS,Hungary,6718,464 Sunfield Place,Celeirós,17,Portugal,5060-016,7880934153,processing
16,16,16,12/13/2020,21.61,29,997.62,0.72,1156.06,16,credit card,720 Di Loreto Drive,Alilem,,Philippines,2716,700 Kinsman Plaza,Pacatuba,,Brazil,49970-000,5287406847,delivered
17,17,17,10/15/2021,1.51,49,244.8,0.53,9245.61,17,debit card,591 Merry Park,Jagupit,,Philippines,1060,9213 Grim Lane,Świnna,,Poland,34-331,2997502594,processing
18,18,18,10/3/2021,20.71,87,669.86,0.67,4239.83,18,debit card,67 Lawn Lane,Pakemitan,,Indonesia,,88 Florence Park,Betania,,Colombia,056077,4343439796,pending
19,19,19,5/22/2021,2.23,23,684.83,0.7,5763.59,19,credit card,27077 Holmberg Court,Łubnice,,Poland,98-432,2438 Havey Pass,Santander,CB,Spain,39010,7891759582,delivered
20,20,20,9/10/2022,17.78,2,797.29,0.02,8433.69,20,credit card,22 Hoffman Street,Tashla,,Russia,461199,5690 Fordem Drive,San Rafael Arriba,,Costa Rica,10304,1154575109,shipped
21,21,21,9/27/2020,3.29,95,505.61,0.96,7006.7,21,debit card,07262 Norway Maple Court,Paris 13,A8,France,75659 CEDEX 13,50393 Morningstar Junction,San Vicente Centenario,,Honduras,,6402486191,pending
